super_category,super_category_fr,category,category_fr,category_icon,activity_en_new,activity_fr,activity_new_icon,index,tags,tags_fr
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,3012,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,491,"art, points of interest, visitors centers","art, points d'interêts, centres visiteurs"
Discover,Découverte,Points of Interest,Points d'interêts,location-pin,Points of Interest,Points d'interêts,location-pin,491,"art, points of interest, visitors centers","art, points d'interêts, centres visiteurs"
Discover,Découverte,Visitors Centers,Centres visiteurs,question,Visitors Centers,Centres visiteurs,question,491,"art, points of interest, visitors centers","art, points d'interêts, centres visiteurs"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1315,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1826,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1488,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1963,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2938,"art, museums, history museums","art, musées, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2938,"art, museums, history museums","art, musées, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2938,"art, museums, history museums","art, musées, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1329,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,97,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1953,"art, history museums","art, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,1953,"art, history museums","art, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2215,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1330,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,546,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1605,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,90,"art, gift shops","art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,90,"art, gift shops","art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1326,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1555,"art, gift shops","art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,1555,"art, gift shops","art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1334,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,303,art,art
Others,Autres,Others,Autres,,Other activities,Autres,,303,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1331,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1589,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1322,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1165,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2941,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2135,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2135,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2180,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2746,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1700,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1317,"art, gift shops","art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,1317,"art, gift shops","art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1569,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1524,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1646,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1321,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2159,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2159,"art, museums","art, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,605,art,art
Others,Autres,Others,Autres,,Other activities,Autres,,605,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1323,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,107,"art, gift shops","art, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,107,"art, gift shops","art, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,111,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,2206,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1324,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1327,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1342,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,580,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,63,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,552,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,93,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,549,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1325,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1731,"art, history museums","art, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,1731,"art, history museums","art, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Art,Art,palette,1668,art,art
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,2378,"educational sites, museums, gardens","sites éducatifs, musées, jardins"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2378,"educational sites, museums, gardens","sites éducatifs, musées, jardins"
Outdoor,Plein-air,Gardens,Jardins,leaf,Gardens,Jardins,leaf,2378,"educational sites, museums, gardens","sites éducatifs, musées, jardins"
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,964,"educational sites, wineries & vineyards, gift shops","sites éducatifs, vignobles, boutiques de cadeaux"
Local,Produits d'ici,Wineries,Vignobles,wine-glass-empty,Wineries & Vineyards,Vignobles,wine-glass-empty,964,"educational sites, wineries & vineyards, gift shops","sites éducatifs, vignobles, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,964,"educational sites, wineries & vineyards, gift shops","sites éducatifs, vignobles, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,962,educational sites,sites éducatifs
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,2029,educational sites,sites éducatifs
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,3117,educational sites,sites éducatifs
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,1152,"educational sites, museums","sites éducatifs, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1152,"educational sites, museums","sites éducatifs, musées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Educational sites,Sites éducatifs,book-open-reader,1816,educational sites,sites éducatifs
Discover,Découverte,Art & Culture,Art & Culture,palette,Exhibitions,Expositions,palette,2618,exhibitions,expositions
Others,Autres,Others,Autres,,Other activities,Autres,,2618,exhibitions,expositions
Discover,Découverte,Art & Culture,Art & Culture,palette,Exhibitions,Expositions,palette,18,exhibitions,expositions
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1019,"museums, cheese","musées, fromage"
Local,Produits d'ici,Farms,Fermes,cow,Cheese,Fromage,cheese,1019,"museums, cheese","musées, fromage"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1189,"museums, theme parks","musées, parcs d'attractions"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,1189,"museums, theme parks","musées, parcs d'attractions"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1694,"museums, theme parks","musées, parcs d'attractions"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,1694,"museums, theme parks","musées, parcs d'attractions"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,954,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,954,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1960,museums,musées
Others,Autres,Others,Autres,,Other activities,Autres,,1960,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2150,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2172,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2187,"museums, zoos","musées, zoos"
Family,Familial,Zoo & Wildlife,Zoos & Faune,hippo,Zoos,Zoos,hippo,2187,"museums, zoos","musées, zoos"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2200,"museums, theme parks, nature parks","musées, parcs d'attractions, parcs de la nature"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,2200,"museums, theme parks, nature parks","musées, parcs d'attractions, parcs de la nature"
Outdoor,Plein-air,Nature Parks,Parcs de la nature,tree,Nature Parks,Parcs de la nature,tree,2200,"museums, theme parks, nature parks","musées, parcs d'attractions, parcs de la nature"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1399,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1676,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2169,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2207,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,34,"museums, air & helicopter tours","musées, air & héli tours"
Energy,Énergie,Adrenaline,Adrénaline,parachute-box,Air & Helicopter Tours,Air & Héli Tours,helicopter,34,"museums, air & helicopter tours","musées, air & héli tours"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,542,"museums, hiking","musées, randonnées"
Energy,Énergie,Hiking,Randonnées,person-hiking,Hiking,Randonnées,person-hiking,542,"museums, hiking","musées, randonnées"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1977,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2171,"museums, theme parks","musées, parcs d'attractions"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,2171,"museums, theme parks","musées, parcs d'attractions"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2210,"museums, historic sites, history museums, military museums","musées, sites historiques, musées d'histoire, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,Historic Sites,Sites historiques,monument,2210,"museums, historic sites, history museums, military museums","musées, sites historiques, musées d'histoire, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2210,"museums, historic sites, history museums, military museums","musées, sites historiques, musées d'histoire, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,Military Museums,Musées d'histoire,monument,2210,"museums, historic sites, history museums, military museums","musées, sites historiques, musées d'histoire, musées d'histoire"
Others,Autres,Others,Autres,,Other activities,Autres,,2210,"museums, historic sites, history museums, military museums","musées, sites historiques, musées d'histoire, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2154,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,285,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2155,"museums, cheese","musées, fromage"
Local,Produits d'ici,Farms,Fermes,cow,Cheese,Fromage,cheese,2155,"museums, cheese","musées, fromage"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,3188,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2195,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2767,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1975,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2198,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1632,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1745,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1536,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2248,"museums, theme parks, gift shops","musées, parcs d'attractions, boutiques de cadeaux"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Theme Parks,Parcs d'attractions,puzzle-piece,2248,"museums, theme parks, gift shops","musées, parcs d'attractions, boutiques de cadeaux"
Relax,Détente,Shopping,Magasinage,tag,Gift Shops,Boutiques de cadeaux,tag,2248,"museums, theme parks, gift shops","musées, parcs d'attractions, boutiques de cadeaux"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,512,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,253,"museums, boat tours","musées, excursions en bateau"
Energy,Énergie,Water Sports,Sports nautiques,sailboat,Boat Tours,Excursions en bateau,sailboat,253,"museums, boat tours","musées, excursions en bateau"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,558,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1251,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1952,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,484,"museums, whale watching, zoos","musées, observation des baleines, zoos"
Family,Familial,Zoo & Wildlife,Zoos & Faune,hippo,Whale Watching,Observation des baleines,otter,484,"museums, whale watching, zoos","musées, observation des baleines, zoos"
Family,Familial,Zoo & Wildlife,Zoos & Faune,hippo,Zoos,Zoos,hippo,484,"museums, whale watching, zoos","musées, observation des baleines, zoos"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2188,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2270,"museums, observatories & planetariums, whale watching","musées, observatoires & planétariums, observation des baleines"
Family,Familial,Theme Parks,Parcs d'attractions,puzzle-piece,Observatories & Planetariums,Observatoires & Planétariums,star,2270,"museums, observatories & planetariums, whale watching","musées, observatoires & planétariums, observation des baleines"
Family,Familial,Zoo & Wildlife,Zoos & Faune,hippo,Whale Watching,Observation des baleines,otter,2270,"museums, observatories & planetariums, whale watching","musées, observatoires & planétariums, observation des baleines"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2218,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2218,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2191,"museums, history museums, farm","musées, musées d'histoire, fermes"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2191,"museums, history museums, farm","musées, musées d'histoire, fermes"
Local,Produits d'ici,Farms,Fermes,cow,Farm,Fermes,apple-whole,2191,"museums, history museums, farm","musées, musées d'histoire, fermes"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,1582,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2629,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2629,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,941,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2208,museums,musées
Discover,Découverte,Art & Culture,Art & Culture,palette,Museums,Musées,landmark,2211,"museums, history museums","musées, musées d'histoire"
Discover,Découverte,History,Histoire,landmark,History Museums,Musées d'histoire,monument,2211,"museums, history museums","musées, musées d'histoire"
