index,name,latitude,longitude,website,phone,email,num_reviews,rating,website_status_code
20,Abbaye Cistercienne D'Oka,45.492203,-74.03237,,+1 450-960-2889,,16,4.0,404
21,Abbaye Cistercienne de Rougemont,45.4441,-73.06470999999999,http://www.abbayederougemont.org,+1 450-469-2880,,11,4.5,200
22,Abbaye Val Notre-Dame,46.191113,-73.51446,http://www.abbayevalnotredame.ca/,+1 450-960-2889,,46,4.5,200
23,Abbey of Saint-Benoit-du-Lac,45.16683,-72.26904,http://www.abbaye.ca/,+1 819-843-4080,info-visiteur@abbaye.ca,329,4.5,200
24,Abelha et Aristee,45.8842,-73.2747,http://www.abelhaetaristee.ca/,+1 514-820-6515,abelhaetaristee@gmail.com,0,,200
25,Academie Arts Martiaux Brossard,45.47295,-73.47535,http://artsmartiauxbrossard.com,+1 450-466-4738,,0,,200
26,Academie Wing Chun Wu Dao Kung Fu,45.453407,-73.46807,http://www.academiewingchunwudao.com,+1 514-835-8913,,0,,403
27,Academie de Karting Jim Russell,46.18127,-74.61358,http://www.kartingjimrussell.com,+1 819-429-6867,info@kartingjimrussell.com,4,5.0,200
28,Acro-Nature,45.902126,-74.26615,http://www.sommets.com,+1 450-227-4671,accnature@mssi.ca,36,4.5,200
29,Action Tremblant Activities,46.20415,-74.58548,http://actiontremblant.com,+1 819-774-0203,info@actiontremblant.com,136,5.0,200
30,Advanced Bassin,45.46909,-73.85173,http://www.advancedbassin.com,+1 514-944-5338,,7,5.0,406
31,"Aerostyle - ecole de Parapente, Snowkite et de Paraski",47.0754,-70.90508,,+1 418-955-3117,info@aerostyle.ca,0,,404
32,Agora Des Arts,48.24658,-79.01701,http://www.agoradesarts.com/fr/index.cfm,+1 819-797-0800,,0,,200
33,Ail du Temps,45.62777,-74.44803,,+1 450-566-3586,info@aildutemps.com,1,5.0,404
34,Air Defence Museum,48.340157,-70.99014,http://www.museebagotville.ca/fr/,+1 418-677-7159,,46,4.0,200
35,Airport Florist,45.45771,-73.75025,http://fleuriste-aeroport.com/,+1 514-636-2017,,1,4.0,200
36,Alaskan Adventure Dog Sledding,46.022263,-74.58771,http://www.aventurealaskan.com,+1 819-425-1787,alaskanaventure@gmail.com,169,5.0,200
37,Albert Gilles Copper Art & Museum,46.952545,-71.042725,,+1 418-824-4224,,95,4.5,404
38,Alex's pub,48.58756,-72.32999000000001,,+1 418-251-5115,,0,,404
39,Alexandre-Bourgeau Park,45.42775,-73.82263,,+1 514-872-0311,,1,5.0,404
40,Aliksir Organic Essential Oils,46.59587,-72.11171,,+1 418-268-3406,info@aliksir.com,5,4.5,404
41,Alpacas Charlevoix,47.47903,-70.31692,http://www.alpagascharlevoix.com,+1 418-635-1205,info@alpagascharlevoix.com,44,4.0,200
42,Alpaga Bersi,48.456062,-71.11769,http://www.alpagabersi.ca/,+1 418-690-0896,info@alpagabersi.ca,10,5.0,200
43,Alpagas D'Ham Nature,46.078520000000005,-71.92076,https://www.alpagasdhamnature.com/,+1 819-604-7312,info@alpagasdhamnature.com,0,,200
44,Alpagas Fibrefine,46.12279,-72.23354,http://www.alpagasfibrefine.com/,+1 819-817-3395,info@alpagasfibrefine.com,1,5.0,200
45,Alpagas Sutton,45.128006,-72.68703000000001,http://www.alpagassutton.com/,+1 450-538-1538,info@alpagassutton.com,28,4.5,200
46,Alpagas des Appalaches,46.368034,-71.09557,http://www.alpagasdesappalaches.com,+1 418-387-6334,info@alpagasdesappalaches.com,8,5.0,200
47,Alpagas du Domaine Poissant,45.52941,-73.15165999999999,http://www.alpagasdudomainepoissant.com/,+1 514-316-5975,,11,5.0,200
48,Altispa,45.45588,-73.75218000000001,http://www.altispa.com/,+1 855-258-4772,info@altispa.com,6,4.5,200
49,Aluminerie Alouette,50.15813,-66.463486,http://www.alouette.com/nous-joindre/visites-de-lusine,+1 418-964-7342,,2,4.5,200
50,Amaranthe,45.105892,-72.61667,http://www.amaranthe.ca,+1 450-531-3374,amaranthe@videotron.ca,0,,200
51,Amazone Paintball,46.19699,-73.27085,,+1 450-944-2350,,0,,404
52,Amerispa Auberge Godefroy,46.30069,-72.54235,,+1 819-233-4664,amerispaaubergegodefroy@amerispa.ca,10,3.5,404
53,Amerispa Chateau Bromont,45.30493,-72.63781999999999,http://www.amerispa.ca/fr/spas/details/spas-d-hotels-et-de-villegiatures/chateau-bromont/,+1 450-534-2717,amerispachateaubromont@amerispa.ca,28,3.0,200
54,Amerispa Esterel Resort,46.03595,-74.02624,http://www.amerispa.ca/fr/spas/details/spas-d-hotels-et-de-villegiatures/esterel-resort/,+1 450-228-8302,amerispaesterel@amerispa.ca,38,3.0,200
55,Amerispa Estrimont Suites & Spa  ,45.306335,-72.16413,http://www.amerispa.ca/fr/spas/details/spas-d-hotels-et-de-villegiatures/orford-estrimont/,+1 819-843-5439,amerispamontorford@amerispa.ca,33,3.5,200
56,Amerispa Spa Nordique Cantley,45.564266,-75.772896,http://www.amerispa.ca/fr/spas/details/spas-nordiques/amerispa-spa-nordique-cantley/,+1 819-335-1555,cantley@amerispa.ca,74,3.5,200
57,Amerispa Spa Nordique Morin-Heights,45.90639,-74.25587,http://www.amerispa.ca/fr/spas/details/spas-nordiques/morinheights/,+1 450-226-7722,morin-heights@amerispa.ca,69,4.0,200
58,Amphitheatre Fernand-Lindsay,46.003635,-73.41374,http://lanaudiere.org/,+1 450-759-4343,,17,5.0,403
59,Amusement Action Directe,45.62545,-73.82942,http://amusementactiondirecte.com/,+1 450-688-0515,,8,3.5,200
60,Ancien Cinema Tache,46.98069,-70.5588,http://www.adls.ca/,,,1,3.0,200
61,Ancien Wagon de Queue du Grand Tronc,47.82963,-69.54443,,+1 418-862-1981,,6,4.0,404
62,Ancienne Eglise de Saint-Pierre de l'Ile d'Orleans,46.88879,-71.07381,,,,12,4.5,404
63,"Annie Morin, Artiste",47.3922,-61.85571,http://www.anniemorin.ca,+1 418-969-7279,oceart@hotmail.com,0,,200
64,Anse Tabatiere,48.271667,-70.2078,,,,33,4.5,404
65,Antiquites Brocante de Charlevoix,47.57641,-70.4026,http://www.antiquitesbrocantecharlevoix.com/,+1 418-457-3526,,3,3.5,200
66,Appetite for Books,45.47862,-73.6031,http://www.appetitebooks.ca,+1 514-369-2002,info@appetitebooks.ca,5,5.0,200
67,Apple Hollow Music Fest,45.029720000000005,-73.92766,,+1 450-827-2748,,1,5.0,404
68,Aqua Detente Spa Sante,46.03999,-73.08503,http://www.aqua-detente.com/en-us/home.aspx,+1 450-743-9000,,2,5.0,200
69,Aqua Parc Msa,47.055040000000005,-70.89574,http://www.aquaparcmsa.ca,+1 418-827-8347,superviseur@condosvacances.com,9,4.0,200
70,Aqua Plein Air,45.64043,-73.82865,http://aquapleinair.com/,+1 450-433-1294,info@aquapleinair.com,0,,200
71,Aqua Spa Lyne Giroux,45.47453,-73.83718,,+1 514-626-8201,,58,3.5,404
72,Aquamer Thalasso-Spa,48.10226,-66.10665999999999,http://www.aquamer.ca,+1 418-364-7055,info@aquamer.ca,21,3.0,200
73,Aquarium du Quebec,46.75093,-71.28826,http://www.sepaq.com/ct/paq/,+1 866-659-5264,aquarium@sepaq.com,1170,4.0,200
74,Aquazilla,45.45969,-74.09142,,+1 514-948-6721,info@aquazilla.com,0,,404
75,Arbraska Duchesnay,46.86153,-71.62805,http://www.arbraskaduchesnay.com/,+1 418-875-4522,,34,4.0,200
76,Arbraska Lafleche,45.637802,-75.791145,http://www.arbraska.com/,+1 877-886-5500,info@arbraska.com,69,4.0,200
77,Arbraska Mont-St-Gregoire,45.35316,-73.1543,,+1 877-886-5500,info@arbraska.com,15,4.5,404
78,Arbraska Rawdon,46.05612,-73.73886999999999,http://arbraska.com/fr/rawdon/,+1 450-834-5500,,59,4.5,200
79,Arbraska Rigaud,45.467976,-74.29466,,+1 877-886-5500,rigaud@arbraska.com,46,4.5,404
80,Arbrasuc obstacle course,45.65633,-71.16423,,+1 819-652-2373,,2,5.0,404
81,Arbre,45.65848,-73.90898,http://www.arbre-mirabel.com/,+1 450-433-9773,info@arbre-mirabel.com,9,3.0,200
82,Arcade Msa,47.055424,-70.89536,,+1 418-827-8347,monettejs@msn.com,0,,404
83,Archipel Amelio,45.815002,-74.030594,http://amelio.tv/archipel/,+1 866-296-6861,bienvenue@amelio.tv,2,5.0,403
84,Arctic Aventure,46.0582,-74.08578,http://www.arcticaventure.com,+1 450-228-3181,arcticaventure@gmail.com,105,4.5,200
85,Arg Evasion,46.02733,-73.44694,http://www.amusementrg.com,+1 450-394-0909,amusementrg@gmail.com,0,,200
86,Argile Eau Mer,49.10105,-68.38395,,+1 418-567-9620,,0,,404
87,Argouseraie Quenebro,45.45636,-72.63804,http://quenebro.ca/,+1 450-378-3782,,0,,200
88,Arnold Paintball,45.01873,-73.76155,http://www.arnoldpaintball.com/fr/,+1 514-592-5117,,2,4.0,200
89,Aromes Evasions,46.023273,-73.1037,https://aromes-evasions.com/,+1 579-882-8018,aromes-evasions@outlook.com,0,,200
90,Art Academie,47.83188,-69.53644,http://artquebecrdl.weebly.com/,+1 418-862-6299,,5,4.5,200
91,Art Mode Gallery,45.49611,-75.78196,,+1 613-818-0158,denis@artmode.com,0,,404
92,Art et Culture Bonsai,46.521645,-72.74769599999999,http://acbonsai.com,+1 819-531-4528,acb@cgocable.ca,1,4.0,200
93,Arteria Gallery,45.318623,-72.652985,http://www.arteriagallery.com/,+1 450-919-3133,genevieve@arteriagallery.com,9,4.5,200
94,Artisanat des Cantons,45.18435,-72.27964,,+1 819-620-8849,,1,4.0,404
95,Artovino Atelier Galerie d'Art,45.117588,-72.91029,,+1 579-433-8604,artovino@axion.ca,1,5.0,404
96,Arts Sutton,45.10848,-72.61516999999999,http://artssutton.com/,+1 450-538-2563,,3,3.5,200
97,Artsversus Art Gallery,45.39853,-71.90949,http://www.galerieartsversus.com,+1 819-823-0866,,1,5.0,200
98,Asile Sainte-Clotilde-de-Horton,46.01892,-72.24256,,,,0,,404
99,Asinerie Les Anes en Culotte,45.429485,-72.37073000000001,,+1 579-488-8894,info@lesanesenculotte.com,13,5.0,404
100,Asylum,45.535023,-73.51387,http://asylum.run/,+1 514-400-2292,contact@asylum.run,4,5.0,200
101,Ateleir Galerie Mario Beaudoin,47.36968,-61.95559,http://www.mariobeaudoin.com,+1 418-655-0860,Mbeaudoin@mariobeaudoin.com,14,4.5,200
102,Atelier Bouffe,45.10597,-72.6147,https://www.facebook.com/atelierbouffesutton/,+1 450-538-2766,chandfield@sympatico.ca,1,5.0,200
103,Atelier Boutique Ne Faites Pas L'autruche,45.54023,-73.18463,http://www.josedrouin.com,+1 450-464-0576,josedrouininfo@gmail.com,10,5.0,200
104,Atelier Iso,47.40018,-61.87436,http://www.tourismeilesdelamadeleine.com/en/atelier-iso/arts-and-crafts/,+1 418-986-2222,,0,,200
105,Atelier d'art Claude Chiasson,47.48183,-70.3113,,+1 418-800-5244,,1,5.0,404
106,Atelier d'art Richard Boutin,46.3046,-71.82455,http://www.richardboutin.com/,+1 819-385-4048,,0,,200
107,Atelier de Verre Cassandre,45.50221,-72.25299,https://cassandreglassstudio.com/,+1 819-574-9888,info@cassandreglassstudio.com,2,4.5,200
108,Atelier-Boutique Au grain de bois,48.55424,-68.34521,http://www.facebook.com/Atelier-Boutique-Au-grain-de-bois-1592289831035138/timeline,+1 418-739-4568,,0,,200
109,Atelier-Boutique Dolande,48.27151,-70.48765,http://www.facebook.com/SurLaButte/,+1 418-272-1156,,0,,200
110,Atelier-Galerie d'Art Victoriaville,46.05575,-71.95783,,+1 819-752-4224,,0,,404
111,Atelier-jardin Du Sculpteur Bela Simo,45.625618,-75.62841999999999,http://www.facebook.com/art.bela.simo,+1 819-328-3380,angele.lux@gmail.com,2,5.0,200
112,Ateliers Plein Soleil,48.58657,-68.18970999999999,https://www.facebook.com/Ateliers-Plein-Soleil-294069857650693/,+1 418-775-5080,info@atelierspleinsoleil.com,0,,200
113,Atlantide Golf Club,45.36663,-73.86746,http://www.golfatlantide.com/,+1 514-425-2000,,30,4.0,200
114,Attitude Montagne,45.95324,-74.17665,http://www.attitudemontagne.com/,+1 450-229-8229,info@attitudemontagne.com,5,5.0,200
115,Attitude Nordique,49.22623,-68.19158,http://www.attitudenordique.com/,+1 418-445-6673,,3,5.0,200
116,Attractions Boreales,48.96671,-72.58191,,+1 418-679-6946,infos@attractionsboreales.com,3,5.0,404
117,Atwater Market,45.47952,-73.57654000000001,http://www.marchespublics-mtl.com/,+1 514-937-7754,info@marchespublics-mtl.com,746,4.5,200
118,Au Canot Volant,46.27176,-73.78365,http://www.canotvolant.ca/,+1 450-883-8886,info@canotvolant.ca,17,4.5,200
119,Au Coeur De La Pomme,45.06423,-72.85322,http://aucoeurdelapomme.ca/en/,+1 450-298-5319,info@aucoeurdelapomme.ca,0,,200
120,Au Coeur des Saisons,45.20296,-71.89402,,+1 819-835-1365,info@aucoeurdessaisons.com,0,,404
121,Au Coin du Vitrail,45.89718,-74.15099000000001,http://www.aucoinduvitrail.com/,+1 450-227-4090,aucoinduvitrail@sympatico.ca,0,,200
122,Au Fil Du Vent,45.29187,-73.43566,http://aufilduvent.ca/,+1 450-515-5550,,0,,200
123,Au Fin Delice,45.431892,-74.326004,http://aufindelice.com/,+1 450-459-4444,,0,,200
124,Au Jardin Noir,45.3725,-72.88468,http://aujardinnoir.com/,+1 450-293-7224,,0,,200
125,Au Machin Chouette,45.31264,-73.26392,http://www.machinchouette.ca/,+1 450-390-1552,,0,,200
126,Au Pavillon De La Pomme,45.57861,-73.16790999999999,http://www.pavillondelapomme.com/,+1 450-464-2654,,0,,200
127,Au Pays Des Merveilles,45.97659,-74.17499000000001,http://www.paysmerveilles.com,+1 450-229-3141,alice@paysmerveilles.com,118,4.5,200
128,Au Pays Des Petits Fruits,45.66374,-73.97129,http://www.aupaysdespetitsfruits.ca/,+1 450-475-6158,info@aupaysdespetitsfruits.ca,2,4.5,200
129,Au Royaume Bleuets et Fraises,46.44453,-72.30811,,+1 819-295-3787,,0,,404
130,Au Rythme De Saint-denis,45.452145,-72.08171999999999,http://www.facebook.com/rythmesaintdenis,+1 819-640-2717,cultureloisir@sddb.ca,0,,200
131,Au Vignoble d’Orford,45.310673,-72.14492,http://www.auvignobledorford.com/,+1 819-212-1211,,42,4.0,200
132,Au coeur du Vieux-Montmagny: histoire et architecture,46.98532,-70.55275999999999,http://www.baladodecouverte.com/circuits/322/au-coeur-du-vieux-montmagny-histoire-et-architecture,,,12,4.0,200
133,Aucoin des Sangliers,47.40994,-61.888090000000005,,+1 418-986-6799,,13,4.5,404
134,Aurelie Savonnerie Artisanale,45.42829,-73.04389,http://www.aureliesavonnerie.com/,+1 450-469-2340,info@aureliesavonnerie.com,0,,200
135,Aureole,45.35643,-73.29895,http://www.aureole.ca/,+1 450-359-4684,info@aureole.ca,2,4.5,200
136,Autobus Le Petit Train Du Nord,45.77612,-74.00164000000001,http://autobuslepetittraindunord.com/,+1 450-569-5596,,44,4.5,200
137,Autocueillette Bleuetiere G. Beaulieu,46.12438,-73.49449,https://www.facebook.com/autocueillettegbeaulieu/,+1 450-803-2504,,0,,200
138,Autodrome Chaudiere,46.37142,-70.94329,https://autodromechaudiere.com/,+1 418-209-3707,info@autodromechaudiere.com,0,,200
139,Autodrome Drummond,45.90826,-72.55005,http://www.autodromedrummond.com,+1 819-474-2222,info@autodromedrummond.com,1,5.0,200
140,Autodrome Montmagny,46.933067,-70.5501,http://www.autodromemontmagnyspeedway.com/,+1 418-327-4727,info@autodromemontmagnyspeedway.com,0,,200
141,Aux Champs Mere-Terre,45.13852,-72.37808000000001,https://www.facebook.com/AuxChampsMereTerre/,+1 450-292-3546,pyramide777@hotmail.com,0,,200
142,Aux Saveurs Du Printemps,45.639557,-74.07443,http://auxsaveursduprintemps.com/,+1 450-475-8998,info@auxsaveursduprintemps.com,1,5.0,200
143,Aux Trois Couvents,46.96896,-71.01845,http://www.auxtroiscouvents.org,+1 418-824-3677,info@auxtroiscouvents.org,2,4.5,200
144,Aux trouvailles & Passe-temps,45.48599,-70.90588000000001,,+1 819-583-5296,,1,5.0,404
145,Aventure Inukshuk,46.86672,-71.64068,http://www.aventureinukshuk.qc.ca/aventure_en.asp?no=29,+1 418-875-0770,info@aventureinukshuk.qc.ca,81,4.0,403
146,Aventure VTT,46.07104,-73.88682,http://www.aventurevttchertsey.ca/,+1 450-882-9000,info@aventurevttchertsey.ca,7,4.0,200
147,Aventure du Husky,46.2705,-74.79881,,+1 819-686-1323,info@aventureduhusky.com,8,5.0,404
148,Aventures Archipel,48.374390000000005,-68.71265,http://www.aventuresarchipel.com,+1 418-750-4491,aventuresarchipel@cgocable.ca,29,5.0,200
149,Aventures Neige,46.11495,-74.59186,http://www.aventuresneige.com/,+1 819-429-5500,,70,4.0,200
150,Aventures Nord-Bec,47.12511,-71.32871999999999,http://www.traineaux-chiens.com/,+1 418-848-3732,aventuresnordbec@gmail.com,445,5.0,200
151,Aventures Parc Mont-Tremblant,46.337173,-74.494,,+1 819-425-2828,aventuresparc@hotmail.ca,80,4.5,404
152,Aventures Plein Air,45.92598,-74.04185,http://www.aventurespleinair.com,+1 450-563-4443,info@aventurespleinair.com,203,4.5,200
153,AviaSim Montreal Aeroport,45.45606,-73.75236,https://www.aviasim.ca,+1 514-500-8066,contact@aviasim.ca,1,5.0,200
154,Aviation MH,47.77081,-69.57146999999999,http://aviationmh.com/,+1 418-894-7492,info@aviationmh.com,0,,200
155,Aviation du Fjord,48.14371,-69.71555,http://www.aviationdufjord.com/,+1 877-235-4640,,44,4.5,200
156,Avolo Plein Air,48.66064,-64.220314,http://www.avolo.qc.ca,+1 418-782-5403,info@avolo.qc.ca,63,5.0,200
157,Azimut Diffusion,46.01924,-73.14954,http://www.azimutdiffusion.com,+1 450-780-1118,billetterie@azimutdiffusion.com,0,,200
158,Azulee,47.42349,-70.51111,http://www.azulee.ca,+1 418-240-2620,,15,4.5,200
159,Azur centre sante-beaute,46.07477,-71.93330999999999,,+1 819-758-5454,info@centreazur.com,1,5.0,404
160,Bagni Spa Station Sante,45.914640000000006,-74.14768000000001,,+1 450-229-4477,info@bagnispa.com,130,3.5,404
161,Baie Sainte-Marguerite,48.249382,-69.9629,,,,24,4.5,404
162,Baie d'Urfe Yacht Club,45.40432,-73.92283,http://www.bdyc.com,+1 514-457-3382,,1,4.0,200
163,Baie sur Mer,48.55064,-71.65406999999999,http://baiesurmer.ca/,+1 418-662-7668,,2,5.0,403
164,Balad'Air,45.346424,-73.15095,,+1 514-990-1492,info@baladair.ca,6,4.0,404
165,Balade a Travers le Temps au Centre-Ville,45.398495,-71.899574,http://www.baladodecouverte.com/circuits/155/balade-a-travers-le-temps-au-centre-ville--guide-virtuel,,,21,4.5,200
166,Balades en bateau - Gite du Maudit Francais,46.06413,-72.79463,http://www.gitedumauditfrancais.net,+1 450-568-1154,gitedumauditfrancais@yahoo.ca,14,5.0,200
167,Balnea,45.273575,-72.69604,http://www.balnea.ca/,+1 450-534-0604,info@balnea.ca,454,4.0,200
168,Banc De Portneuf,48.633790000000005,-69.09373000000001,,,,2,4.5,404
169,Bano Spa,45.44852,-73.29189000000001,http://www.banospa.ca/,+1 450-982-2266,,19,5.0,200
170,Bar 4000,46.12078,-70.67151,https://www.facebook.com/Bar4000/,+1 418-228-4000,,2,3.5,200
171,Bar Cafe Le Texas Cactus,46.618214,-72.693344,,+1 819-731-9725,,0,,404
172,Bar Cafe O Saint-Fred,45.883812,-72.48727,https://www.facebook.com/bar.cafe.o.stfred/,+1 819-478-2420,,3,3.5,200
173,Bar Centre Ale Artisan Brasseur inc,45.88297,-72.4852,https://www.facebook.com/Bar-Centre-Ale-Artisan-Brasseur-inc-461298350588237/,+1 819-850-5674,,1,3.0,200
174,Bar Jackpot Levis,46.77988,-71.15732,,+1 418-833-8790,,1,5.0,404
175,Bar L'epervier,45.13116,-71.79729,https://lepervier.ca/,+1 819-804-0555,,1,5.0,200
176,Bar La Grimace,48.55885,-67.68777,https://www.facebook.com/barlagrimace/,+1 418-536-5533,,0,,200
177,Bar Le Billard,48.4712,-67.43928000000001,,+1 418-629-2049,,0,,404
178,Bar Le Foyer at Fairmont Le Chateau Montebello,45.645218,-74.94946,http://www.fairmont.com/montebello/dining/lobby-bar/,+1 819-423-6341,chateaumontebello@fairmont.com,94,4.5,200
179,Bar Le Huit,45.53597,-73.90003,https://www.facebook.com/barlehuit.officiel,+1 450-974-9423,,0,,200
180,Bar Le Lounge,45.44692,-73.28403,https://www.facebook.com/loungechambly/timeline,+1 450-447-3991,,0,,200
181,Bar Le Merlin,46.12069,-70.67342,https://www.facebook.com/Bar-Le-Merlin-113593388743338/,+1 418-228-3141,,0,,200
182,Bar Le Merlin,46.52564,-72.75346,https://www.facebook.com/merlin.barle/,+1 819-537-2413,,0,,200
183,Bar Le Picasso,46.52382,-72.75065,https://www.facebook.com/BarLePicasso/,+1 819-536-3190,,0,,200
184,Bar Le Toxedo,50.21772,-66.38056,https://www.facebook.com/Bar-Le-Toxedo-173896075971510/,+1 418-962-6411,,1,2.0,200
185,Bar Le Tropical,45.86209,-72.47577,https://www.facebook.com/Bar-Le-Tropical-110257789051634/,+1 819-478-9846,bartropical@live.ca,0,,200
186,Bar Motel le Perroquet,48.52522,-71.6532,,+1 418-480-1212,,0,,404
187,Bar St-Calixte,46.21903,-71.77139,https://www.facebook.com/Bar-St-Calixte-1681132578795901/,+1 819-362-8825,,1,4.0,200
188,Bar Valentine,46.05283,-71.94060999999999,http://barvalentine.com,+1 819-758-0649,reception@barvalentine.com,0,,200
189,Bar chez CouneChase,48.17934,-65.86995999999999,https://www.facebook.com/Bar-chez-CouneChase-232004733531249/?ref=page_internal,+1 418-391-1945,,2,1.0,200
190,Bar de la Vallee,45.88569,-74.17251999999999,http://bardelavallee.com/,+1 450-227-5998,,1,5.0,200
191,Bar du Boulevard,46.11386,-70.67493,https://www.facebook.com/Bar-du-Boulevard-110380102322326/,+1 418-228-5088,,0,,200
192,Bar l'Ambiance,45.57613,-73.8622,https://www.facebook.com/ambiancegrandecote/,+1 450-623-8132,bar.lambiance.st.eu@gmail.com,0,,200
193,Bar la Cageole,47.61385,-68.80345,,+1 418-899-6781,,0,,404
194,Bar la Plaza,45.43247,-73.16259000000001,https://www.facebook.com/pages/Bar-la-Plaza-Marieville/58974021854,+1 450-460-7009,,0,,200
195,Bar la Terrasse,46.25594,-72.9381,https://www.facebook.com/barlaterasse/,+1 819-228-1000,,1,4.0,200
196,Bar le Cactus,46.09552,-71.29536,http://www.barlecactus.com,+1 418-335-9275,,0,,403
197,Bar le Garage,45.71727,-73.94745999999999,http://www.barlegarage.com/#!contact/cuxg,+1 450-434-7111,,2,4.0,200
198,Barachois De Carleton Sur Mer,48.10082,-66.12742,,,,2,3.5,404
199,Barbe Broue Microbrasserie,47.650463,-79.42325,https://www.facebook.com/BarbeBroue/,+1 819-629-7442,barbe.broue.pub@gmail.com,20,5.0,200
200,Barbie Expo,45.501274,-73.57389,,+1 514-842-7777,,1356,4.5,404
201,Barbin Sport,48.125690000000006,-78.00263000000001,http://www.barbinsport.com/,+1 866-586-1445,,0,,200
202,Base de Plein Air Les Goelands,50.02482,-66.8914,http://baselesgoelands.com/fr/index.html,+1 418-766-8706,,0,,200
203,Base de Plein air Saint-Lazare,45.38002,-74.1675,http://www.quebecoriginal.com/fiche/quoi-faire/sports-et-nature/centres-de-ski-de-fond/base-de-plein-air-des-cedres-5959123,+1 450-424-8000,,2,3.0,200
204,Base de plongee de la FQAS aux Escoumins,48.32001,-69.41301999999999,http://www.baseplongeefqas.com,+1 418-233-4025,direction@fqas.qc.ca,1,5.0,200
205,Basilique Sainte-Anne de Varennes,45.68312,-73.44125,,+1 450-652-2441,,4,4.5,404
206,Basilique mineure Saint-Frederic,45.88405,-72.4884,,+1 819-472-2345,,1,3.0,404
207,Battlefields Park (Parc des Champs-de-Bataille),46.81273,-71.22032,http://www.ccbn-nbc.gc.ca/,+1 418-648-4071,,454,4.5,200
208,Battures De Saint Fulgence,48.452602,-70.91586,,,,2,2.5,404
209,Beachclub,45.51547,-73.95718000000001,http://www.beachclub.com,+1 450-473-1000,info@beachclub.com,15,3.0,200
210,Beauce Art: L’International de la sculpture,46.1234,-70.681946,http://beauceart.com/,+1 418-221-1224,,0,,200
211,Beauchamp Art Gallery,47.44223,-70.50589000000001,http://www.galeriebeauchamp.com/,+1 418-240-2244,,14,4.5,200
212,Beaureal Reserve Naturelle,45.97292,-73.75851999999999,http://www.quebecoriginal.com/fr-ca/fiche/quoi-faire/sports-et-nature/parcs-regionaux/beaureal-reserve-naturelle-354614973,+1 514-992-3886,,0,,200
213,Beaute Lime & Vanille,45.70004,-73.64725,,+1 450-416-6980,,1,5.0,404
214,Beaux Reves Spa Nordique,45.96345,-74.15365600000001,http://www.beauxreves.com/en/nordic-spa/,+1 450-229-9226,welcome@beauxreves.com,266,4.5,200
